genbank_accession,file,path,IG_TR_gene_Coverage,IG_TR_gene_Percent_id,IG_TR_gene_Problematic,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_Coverage,IG_TR_pseudogene_Percent_id,IG_TR_pseudogene_Problematic,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_Coverage,TEC_Percent_id,TEC_Problematic,TEC_mapped,TEC_percentage,TEC_total,artifact_Coverage,artifact_Percent_id,artifact_Problematic,artifact_mapped,artifact_percentage,artifact_total,lncRNA_Coverage,lncRNA_Percent_id,lncRNA_Problematic,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_Coverage,miRNA_Percent_id,miRNA_Problematic,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_Coverage,misc_RNA_Percent_id,misc_RNA_Problematic,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,non_stop_decay_Coverage,non_stop_decay_Percent_id,non_stop_decay_Problematic,non_stop_decay_mapped,non_stop_decay_percentage,non_stop_decay_total,nonsense_mediated_decay_Coverage,nonsense_mediated_decay_Percent_id,nonsense_mediated_decay_Problematic,nonsense_mediated_decay_mapped,nonsense_mediated_decay_percentage,nonsense_mediated_decay_total,processed_pseudogene_Coverage,processed_pseudogene_Percent_id,processed_pseudogene_Problematic,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,processed_transcript_Coverage,processed_transcript_Percent_id,processed_transcript_Problematic,processed_transcript_mapped,processed_transcript_percentage,processed_transcript_total,protein_coding_CDS_not_defined_Coverage,protein_coding_CDS_not_defined_Percent_id,protein_coding_CDS_not_defined_Problematic,protein_coding_CDS_not_defined_mapped,protein_coding_CDS_not_defined_percentage,protein_coding_CDS_not_defined_total,protein_coding_Coverage,protein_coding_LoF_Coverage,protein_coding_LoF_Percent_id,protein_coding_LoF_Problematic,protein_coding_LoF_mapped,protein_coding_LoF_percentage,protein_coding_LoF_total,protein_coding_Percent_id,protein_coding_Problematic,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_Coverage,pseudogene_Percent_id,pseudogene_Problematic,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_Coverage,rRNA_Percent_id,rRNA_Problematic,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_Coverage,rRNA_pseudogene_Percent_id,rRNA_pseudogene_Problematic,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,retained_intron_Coverage,retained_intron_Percent_id,retained_intron_Problematic,retained_intron_mapped,retained_intron_percentage,retained_intron_total,ribozyme_Coverage,ribozyme_Percent_id,ribozyme_Problematic,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_Coverage,sRNA_Percent_id,sRNA_Problematic,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_Coverage,scRNA_Percent_id,scRNA_Problematic,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_Coverage,scaRNA_Percent_id,scaRNA_Problematic,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_Coverage,snRNA_Percent_id,snRNA_Problematic,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_Coverage,snoRNA_Percent_id,snoRNA_Problematic,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_Coverage,unitary_pseudogene_Percent_id,unitary_pseudogene_Problematic,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_Coverage,unprocessed_pseudogene_Percent_id,unprocessed_pseudogene_Problematic,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_Coverage,vault_RNA_Percent_id,vault_RNA_Problematic,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_42029495.1,GCA_042029495.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042029495.1/GCA_042029495.1_mapping_stats.mapping_stats.txt,99.97,99.85,1,367,87.38,420,99.65,99.33,3,215,90.72,237,99.91,99.84,2,1103,99.64,1107,100,99.95,0,7,36.84,19,99.82,99.84,839,184781,98.77,187074,99.99,99.93,2,1869,99.57,1877,99.91,99.89,2,2195,99.37,2209,100,99.95,0,102,100,102,99.97,99.94,19,21087,99.82,21126,99.92,99.87,12,10451,99.46,10508,100,99.89,0,5,100,5,99.98,99.94,11,26292,99.9,26318,99.97,99.89,99.79,0,74,100,74,99.94,53,88927,99.83,89075,100,99.73,0,4,100,4,99.97,99.77,0,53,100,99.95,99.87,1,487,99.59,489,53,99.95,99.92,34,33972,99.83,34029,100,99.91,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.95,0,49,100,49,99.94,99.91,1,1877,99.15,1893,99.97,99.88,1,938,99.89,939,99.96,99.9,0,259,100,259,99.76,99.74,13,3249,98.07,3313,100,100,0,4,100,4
GCA_42029535.1,GCA_042029535.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029535.1/GCA_042029535.1_mapping_stats.mapping_stats.txt,99.99,99.86,0,407,96.9,420,99.98,99.85,0,234,98.73,237,99.92,99.87,1,1105,99.82,1107,100,99.98,0,7,36.84,19,99.83,99.85,818,185160,98.98,187074,99.98,99.92,3,1862,99.2,1877,99.89,99.84,3,2197,99.46,2209,100,99.93,0,102,100,102,99.94,99.94,22,21094,99.85,21126,99.96,99.87,9,10448,99.43,10508,100,99.85,0,5,100,5,99.98,99.94,8,26290,99.89,26318,99.96,99.98,99.87,0,73,98.65,74,99.93,79,88927,99.83,89075,99.97,99.79,0,4,100,4,100,99.88,0,53,100,99.98,99.89,0,487,99.59,489,53,99.95,99.92,26,33990,99.89,34029,100,99.87,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.95,0,49,100,49,99.93,99.9,2,1871,98.84,1893,99.95,99.83,2,936,99.68,939,99.9,99.89,1,259,100,259,99.66,99.72,25,3242,97.86,3313,100,99.72,0,4,100,4
GCA_42028875.1,GCA_042028875.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028875.1/GCA_042028875.1_mapping_stats.mapping_stats.txt,99.74,99.55,7,392,93.33,420,99.77,99.41,2,231,97.47,237,99.92,99.88,1,1106,99.91,1107,100,99.93,0,7,36.84,19,99.89,99.86,550,185095,98.94,187074,99.99,99.92,2,1871,99.68,1877,99.92,99.88,2,2195,99.37,2209,100,99.94,0,102,100,102,99.95,99.95,17,21094,99.85,21126,99.92,99.87,12,10449,99.44,10508,100,99.89,0,5,100,5,99.98,99.94,11,26296,99.92,26318,99.95,99.84,99.86,1,73,98.65,74,99.93,75,88900,99.8,89075,99.86,99.82,0,4,100,4,100,99.9,0,50,94.34,99.98,99.88,0,488,99.8,489,53,99.97,99.94,13,33970,99.83,34029,100,99.86,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,99.98,99.95,0,49,100,49,99.93,99.9,2,1872,98.89,1893,99.94,99.83,2,939,100,939,99.7,99.89,2,258,99.61,259,99.82,99.76,15,3240,97.8,3313,100,99.72,0,4,100,4
GCA_42029545.1,GCA_042029545.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029545.1/GCA_042029545.1_mapping_stats.mapping_stats.txt,99.95,99.82,2,335,79.76,420,99.99,99.83,0,160,67.51,237,99.94,99.88,0,1101,99.46,1107,100,99.92,0,7,36.84,19,99.79,99.82,805,184952,98.87,187074,99.99,99.92,2,1864,99.31,1877,99.95,99.89,2,2195,99.37,2209,100,99.94,0,102,100,102,99.98,99.94,14,21059,99.68,21126,99.95,99.88,10,10443,99.38,10508,100,99.84,0,5,100,5,99.98,99.94,14,26253,99.75,26318,99.96,99.91,99.72,1,73,98.65,74,99.93,78,88824,99.72,89075,99.86,99.67,0,4,100,4,100,99.9,0,52,98.11,99.97,99.89,0,486,99.39,489,53,99.95,99.93,28,33936,99.73,34029,100,99.91,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.96,0,47,95.92,49,99.93,99.9,2,1873,98.94,1893,99.95,99.84,2,934,99.47,939,99.76,99.89,1,258,99.61,259,99.49,99.61,29,3230,97.49,3313,100,99.72,0,4,100,4
GCA_42026535.1,GCA_042026535.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042026535.1/GCA_042026535.1_mapping_stats.mapping_stats.txt,99.85,99.65,3,387,92.14,420,99.88,99.39,2,229,96.62,237,99.95,99.87,0,1104,99.73,1107,100,99.93,0,7,36.84,19,99.87,99.86,591,184075,98.4,187074,99.99,99.92,1,1871,99.68,1877,99.92,99.89,4,2194,99.32,2209,100,99.94,0,102,100,102,99.95,99.94,18,21068,99.73,21126,99.93,99.87,14,10450,99.45,10508,100,99.86,0,5,100,5,99.98,99.94,11,26271,99.82,26318,99.96,99.9,99.75,0,74,100,74,99.93,52,88878,99.78,89075,100,99.8,0,4,100,4,100,99.89,0,50,94.34,99.79,99.87,2,489,100,489,53,99.98,99.93,13,33969,99.82,34029,100,99.87,0,8,100,8,98.93,97.46,1,5,100,5,99.5,99.5,0,1,100,1,100,99.96,0,49,100,49,99.94,99.89,2,1874,99,1893,99.94,99.82,2,938,99.89,939,99.7,99.89,2,258,99.61,259,99.72,99.74,22,3229,97.46,3313,100,100,0,4,100,4
GCA_42029485.1,GCA_042029485.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029485.1/GCA_042029485.1_mapping_stats.mapping_stats.txt,99.94,99.78,3,393,93.57,420,99.67,99.33,3,228,96.2,237,99.9,99.87,2,1105,99.82,1107,100,99.95,0,7,36.84,19,99.78,99.8,912,184771,98.77,187074,99.99,99.92,3,1863,99.25,1877,99.96,99.88,1,2194,99.32,2209,100,99.93,0,102,100,102,99.95,99.95,14,21090,99.83,21126,99.95,99.88,10,10450,99.45,10508,100,99.83,0,5,100,5,99.98,99.94,10,26286,99.88,26318,99.96,99.91,99.85,0,74,100,74,99.93,65,88880,99.78,89075,99.86,99.69,0,4,100,4,100,99.87,0,52,98.11,99.95,99.87,1,489,100,489,53,99.98,99.94,7,33986,99.87,34029,100,99.96,0,8,100,8,99.6,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.94,0,49,100,49,99.95,99.89,1,1874,99,1893,99.98,99.88,1,936,99.68,939,99.97,99.9,0,259,100,259,99.7,99.66,21,3234,97.62,3313,100,100,0,3,75,4
GCA_42028025.1,GCA_042028025.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028025.1/GCA_042028025.1_mapping_stats.mapping_stats.txt,99.99,99.84,0,360,85.71,420,99.87,99.41,2,224,94.51,237,99.91,99.88,1,1102,99.55,1107,100,99.96,0,7,36.84,19,99.88,99.86,522,184110,98.42,187074,99.99,99.93,1,1861,99.15,1877,99.93,99.9,2,2192,99.23,2209,99.99,99.93,0,102,100,102,99.94,99.94,26,21086,99.81,21126,99.94,99.87,12,10453,99.48,10508,100,99.88,0,5,100,5,99.99,99.94,6,26270,99.82,26318,99.96,99.87,99.81,0,72,97.3,74,99.93,90,88856,99.75,89075,100,99.81,0,4,100,4,99.97,98.75,1,52,98.11,99.97,99.89,0,487,99.59,489,53,99.95,99.92,31,33945,99.75,34029,100,99.75,0,8,100,8,100,100,0,5,100,5,100,100,0,1,100,1,100,99.96,0,49,100,49,99.94,99.9,1,1880,99.31,1893,99.97,99.88,1,936,99.68,939,99.97,99.89,0,259,100,259,99.7,99.75,22,3224,97.31,3313,100,100,0,4,100,4
GCA_42028145.1,GCA_042028145.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028145.1/GCA_042028145.1_mapping_stats.mapping_stats.txt,99.83,99.63,4,395,94.05,420,99.87,99.39,2,225,94.94,237,99.8,99.69,7,1103,99.64,1107,100,99.9,0,7,36.84,19,99.86,99.82,748,184622,98.69,187074,99.92,99.68,11,1870,99.63,1877,99.87,99.84,4,2196,99.41,2209,100,99.95,0,102,100,102,99.96,99.9,32,21076,99.76,21126,99.9,99.71,44,10456,99.51,10508,100,99.88,0,5,100,5,99.98,99.94,11,26282,99.86,26318,99.94,99.95,99.82,0,74,100,74,99.89,160,88885,99.79,89075,100,99.83,0,4,100,4,94.86,85.35,13,50,94.34,99.83,99.89,1,489,100,489,53,99.97,99.91,28,33980,99.86,34029,100,99.87,0,8,100,8,98.93,97.46,1,5,100,5,98.49,98.98,0,1,100,1,100,99.97,0,47,95.92,49,99.95,99.9,1,1875,99.05,1893,99.95,99.83,2,931,99.15,939,99.97,99.88,0,259,100,259,99.56,99.12,64,3232,97.56,3313,100,100,0,4,100,4
GCA_42028945.1,GCA_042028945.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028945.1/GCA_042028945.1_mapping_stats.mapping_stats.txt,99.99,99.82,2,358,85.24,420,99.97,99.72,1,217,91.56,237,99.93,99.87,1,1103,99.64,1107,100,99.97,0,7,36.84,19,99.87,99.86,585,185088,98.94,187074,99.98,99.92,2,1861,99.15,1877,99.92,99.89,2,2198,99.5,2209,100,99.93,0,102,100,102,99.95,99.94,13,21071,99.74,21126,99.92,99.87,14,10452,99.47,10508,100,99.79,0,5,100,5,99.98,99.94,12,26274,99.83,26318,99.96,99.98,99.78,1,74,100,74,99.93,72,88871,99.77,89075,100,99.88,0,4,100,4,100,99.81,0,51,96.23,99.96,99.91,0,489,100,489,53,99.97,99.94,19,33979,99.85,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.97,0,49,100,49,99.93,99.9,2,1873,98.94,1893,99.94,99.83,2,939,100,939,99.9,99.87,1,259,100,259,99.66,99.73,26,3235,97.65,3313,100,99.72,0,4,100,4
GCA_42027765.1,GCA_042027765.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042027765.1/GCA_042027765.1_mapping_stats.mapping_stats.txt,99.84,99.62,4,383,91.19,420,99.98,99.81,0,232,97.89,237,99.93,99.87,1,1103,99.64,1107,100,99.94,0,7,36.84,19,99.82,99.84,864,184234,98.48,187074,99.99,99.92,1,1870,99.63,1877,99.93,99.88,3,2195,99.37,2209,99.99,99.93,0,102,100,102,99.95,99.94,22,21067,99.72,21126,99.95,99.87,8,10446,99.41,10508,100,99.96,0,5,100,5,99.98,99.93,11,26263,99.79,26318,99.96,99.91,99.84,0,73,98.65,74,99.93,84,88887,99.79,89075,100,99.65,0,2,50,4,100,99.9,0,51,96.23,99.98,99.88,1,488,99.8,489,53,99.97,99.93,27,33971,99.83,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.94,0,49,100,49,99.94,99.89,1,1874,99,1893,99.95,99.83,2,937,99.79,939,99.97,99.89,0,259,100,259,99.68,99.75,20,3227,97.4,3313,100,100,0,4,100,4
GCA_42029385.1,GCA_042029385.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029385.1/GCA_042029385.1_mapping_stats.mapping_stats.txt,99.75,99.68,2,382,90.95,420,99.87,99.4,2,225,94.94,237,99.88,99.88,3,1106,99.91,1107,100,99.96,0,7,36.84,19,99.82,99.85,936,184431,98.59,187074,99.99,99.91,1,1870,99.63,1877,99.98,99.91,1,2190,99.14,2209,100,99.95,0,102,100,102,99.97,99.94,17,21064,99.71,21126,99.94,99.86,11,10430,99.26,10508,100,99.89,0,5,100,5,99.97,99.94,13,26264,99.79,26318,99.96,99.73,99.82,1,73,98.65,74,99.94,82,88858,99.76,89075,100,99.88,0,4,100,4,100,99.92,0,51,96.23,99.99,99.9,0,489,100,489,53,99.93,99.93,35,33965,99.81,34029,100,99.79,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.99,0,49,100,49,99.98,99.9,1,1875,99.05,1893,99.94,99.84,2,938,99.89,939,99.7,99.87,2,258,99.61,259,99.71,99.77,16,3209,96.86,3313,100,100,0,4,100,4
GCA_46056425.1,GCA_046056425.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046056425.1/GCA_046056425.1_mapping_stats.mapping_stats.txt,99.84,99.61,4,377,89.76,420,99.97,99.8,0,218,91.98,237,99.92,99.88,1,1106,99.91,1107,100,99.98,0,7,36.84,19,99.86,99.86,659,184139,98.43,187074,99.99,99.92,1,1867,99.47,1877,99.88,99.9,4,2198,99.5,2209,100,99.93,0,102,100,102,99.95,99.94,24,21070,99.73,21126,99.95,99.88,10,10442,99.37,10508,100,99.83,0,5,100,5,99.97,99.93,16,26263,99.79,26318,99.96,99.98,99.85,0,74,100,74,99.93,97,88867,99.77,89075,100,99.7,0,4,100,4,100,99.88,0,53,100,99.83,99.89,1,489,100,489,53,99.96,99.93,24,33979,99.85,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,98.5,98.98,0,1,100,1,100,99.96,0,49,100,49,99.94,99.89,1,1874,99,1893,99.95,99.84,2,935,99.57,939,99.97,99.91,0,259,100,259,99.63,99.74,21,3245,97.95,3313,100,99.72,0,4,100,4
GCA_18472605.2,GCA_018472605.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_018472605.2/GCA_018472605.2_mapping_stats.mapping_stats.txt,99.99,99.83,1,364,86.67,420,99.74,99.37,2,220,92.83,237,99.89,99.87,2,1100,99.37,1107,100,99.98,0,7,36.84,19,99.89,99.86,549,183776,98.24,187074,99.99,99.92,1,1865,99.36,1877,99.98,99.9,1,2195,99.37,2209,100,99.94,0,102,100,102,99.97,99.94,15,21072,99.74,21126,99.91,99.86,15,10444,99.39,10508,100,99.89,0,5,100,5,99.98,99.94,6,26275,99.84,26318,99.96,99.89,99.81,0,71,95.95,74,99.93,79,88874,99.77,89075,100,99.79,0,3,75,4,99.97,99.8,0,51,96.23,99.97,99.87,0,488,99.8,489,53,99.95,99.93,26,33973,99.84,34029,100,99.91,0,8,100,8,100,100,0,5,100,5,100,99.5,0,1,100,1,100,99.93,0,49,100,49,99.93,99.9,2,1869,98.73,1893,99.92,99.78,3,935,99.57,939,99.9,99.89,1,259,100,259,99.72,99.72,21,3225,97.34,3313,100,99.72,0,4,100,4
GCA_18471095.2,GCA_018471095.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471095.2/GCA_018471095.2_mapping_stats.mapping_stats.txt,99.98,99.73,3,401,95.48,420,99.96,99.78,0,224,94.51,237,99.92,99.87,1,1104,99.73,1107,100,99.92,0,7,36.84,19,99.77,99.78,1016,184829,98.8,187074,99.98,99.92,1,1865,99.36,1877,99.95,99.88,1,2192,99.23,2209,100,99.94,0,102,100,102,99.97,99.94,27,21082,99.79,21126,99.96,99.88,9,10449,99.44,10508,100,99.78,0,5,100,5,99.98,99.93,13,26285,99.87,26318,99.96,99.92,99.83,0,74,100,74,99.93,107,88905,99.81,89075,100,99.74,0,4,100,4,100,99.89,0,51,96.23,99.79,99.87,2,489,100,489,53,99.97,99.93,25,33984,99.87,34029,100,99.79,0,8,100,8,99.47,96.99,1,5,100,5,98.49,98.98,0,1,100,1,100,99.96,0,49,100,49,99.94,99.9,1,1875,99.05,1893,99.95,99.83,2,934,99.47,939,99.76,99.88,1,258,99.61,259,99.66,99.67,24,3234,97.62,3313,100,100,0,4,100,4
GCA_18471345.2,GCA_018471345.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471345.2/GCA_018471345.2_mapping_stats.mapping_stats.txt,99.98,99.83,1,375,89.29,420,99.98,99.86,0,225,94.94,237,99.93,99.88,1,1104,99.73,1107,100,99.93,0,7,36.84,19,99.76,99.76,860,184511,98.63,187074,99.98,99.93,2,1867,99.47,1877,99.98,99.9,0,2195,99.37,2209,100,99.94,0,102,100,102,99.97,99.95,17,21073,99.75,21126,99.93,99.85,12,10440,99.35,10508,100,99.85,0,5,100,5,99.98,99.94,10,26273,99.83,26318,99.97,99.99,99.84,0,74,100,74,99.94,71,88887,99.79,89075,100,99.71,0,2,50,4,100,99.87,0,53,100,99.98,99.9,0,489,100,489,53,99.92,99.93,32,33970,99.83,34029,100,99.75,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.94,0,49,100,49,99.94,99.91,1,1866,98.57,1893,99.93,99.83,2,938,99.89,939,99.76,99.9,1,257,99.23,259,99.66,99.65,21,3224,97.31,3313,100,100,0,4,100,4
GCA_18471085.2,GCA_018471085.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471085.2/GCA_018471085.2_mapping_stats.mapping_stats.txt,99.77,99.63,6,401,95.48,420,99.86,99.4,2,234,98.73,237,99.95,99.88,1,1105,99.82,1107,100,99.97,0,7,36.84,19,99.74,99.78,1034,184914,98.85,187074,99.97,99.92,2,1866,99.41,1877,99.93,99.89,2,2197,99.46,2209,100,99.92,0,102,100,102,99.97,99.95,20,21088,99.82,21126,99.95,99.88,11,10458,99.52,10508,100,99.84,0,5,100,5,99.98,99.94,9,26285,99.87,26318,99.95,99.99,99.85,0,74,100,74,99.93,91,88892,99.79,89075,100,99.85,0,4,100,4,100,99.87,0,50,94.34,99.96,99.89,0,489,100,489,53,99.98,99.94,13,33993,99.89,34029,100,99.65,0,8,100,8,98.93,97.46,1,5,100,5,97.49,98.97,0,1,100,1,100,99.98,0,49,100,49,99.94,99.89,1,1877,99.15,1893,99.98,99.88,1,935,99.57,939,99.71,99.88,2,258,99.61,259,99.7,99.69,24,3242,97.86,3313,100,100,0,4,100,4
GCA_18469405.2,GCA_018469405.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018469405.2/GCA_018469405.2_mapping_stats.mapping_stats.txt,99.77,99.78,3,385,91.67,420,99.86,99.83,1,225,94.94,237,99.95,99.88,0,1104,99.73,1107,100,99.92,0,7,36.84,19,99.8,99.85,865,185621,99.22,187074,99.98,99.92,2,1872,99.73,1877,99.93,99.88,2,2200,99.59,2209,100,99.94,0,102,100,102,99.95,99.94,15,21077,99.77,21126,99.92,99.87,12,10447,99.42,10508,100,99.84,0,5,100,5,99.98,99.94,13,26272,99.83,26318,99.95,99.92,99.72,1,74,100,74,99.94,84,88863,99.76,89075,100,99.66,0,4,100,4,100,99.84,0,53,100,99.94,99.86,1,488,99.8,489,53,99.97,99.93,21,33955,99.78,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.95,0,49,100,49,99.94,99.9,1,1875,99.05,1893,99.94,99.83,2,937,99.79,939,99.85,99.87,2,259,100,259,99.69,99.71,20,3226,97.37,3313,100,99.72,0,4,100,4
GCA_18467155.2,GCA_018467155.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018467155.2/GCA_018467155.2_mapping_stats.mapping_stats.txt,99.95,99.75,3,343,81.67,420,99.86,99.21,2,198,83.54,237,99.95,99.87,0,1103,99.64,1107,99.99,99.93,0,7,36.84,19,99.85,99.84,623,184513,98.63,187074,99.94,99.89,2,1864,99.31,1877,99.87,99.83,4,2198,99.5,2209,100,99.92,0,102,100,102,99.97,99.93,22,21091,99.83,21126,99.94,99.84,14,10442,99.37,10508,100,99.87,0,5,100,5,99.98,99.93,11,26264,99.79,26318,99.96,99.86,99.76,0,74,100,74,99.92,79,88839,99.74,89075,100,99.82,0,4,100,4,99.97,99.8,0,53,100,99.8,99.88,1,487,99.59,489,53,99.97,99.92,19,33956,99.79,34029,100,99.92,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.91,0,49,100,49,99.94,99.9,1,1867,98.63,1893,99.97,99.85,1,938,99.89,939,99.87,99.85,1,258,99.61,259,99.65,99.7,21,3229,97.46,3313,100,100,0,4,100,4
GCA_18471545.2,GCA_018471545.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471545.2/GCA_018471545.2_mapping_stats.mapping_stats.txt,99.96,99.81,1,375,89.29,420,99.84,99.35,2,210,88.61,237,99.94,99.88,1,1104,99.73,1107,100,99.93,0,7,36.84,19,99.81,99.83,807,184876,98.83,187074,99.95,99.9,3,1863,99.25,1877,99.94,99.87,3,2197,99.46,2209,100,99.93,0,102,100,102,99.97,99.94,12,21092,99.84,21126,99.91,99.86,15,10457,99.51,10508,100,99.85,0,5,100,5,99.97,99.94,18,26283,99.87,26318,99.95,99.89,99.84,0,73,98.65,74,99.93,98,88889,99.79,89075,100,99.83,0,4,100,4,100,99.84,0,51,96.23,99.98,99.89,0,488,99.8,489,53,99.96,99.92,32,33980,99.86,34029,100,99.87,0,8,100,8,100,100,0,5,100,5,98.5,98.98,0,1,100,1,100,99.95,0,49,100,49,99.94,99.9,1,1874,99,1893,99.94,99.83,2,934,99.47,939,99.89,99.87,1,259,100,259,99.78,99.75,16,3223,97.28,3313,100,100,0,4,100,4
GCA_18471535.2,GCA_018471535.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471535.2/GCA_018471535.2_mapping_stats.mapping_stats.txt,99.84,99.57,6,389,92.62,420,99.99,99.81,0,218,91.98,237,99.96,99.88,0,1105,99.82,1107,100,99.93,0,7,36.84,19,99.87,99.83,550,184597,98.68,187074,99.94,99.87,3,1869,99.57,1877,99.95,99.88,1,2190,99.14,2209,100,99.94,0,102,100,102,99.94,99.93,33,21098,99.87,21126,99.94,99.87,9,10445,99.4,10508,100,99.85,0,5,100,5,99.98,99.93,17,26287,99.88,26318,99.95,98.67,99.82,1,73,98.65,74,99.93,123,88853,99.75,89075,99.82,99.77,0,4,100,4,98.8,98.69,1,53,100,99.82,99.87,1,488,99.8,489,53,99.93,99.91,51,33952,99.77,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,98.5,98.98,0,1,100,1,100,99.96,0,49,100,49,99.93,99.9,2,1872,98.89,1893,99.98,99.89,1,938,99.89,939,99.91,99.88,1,259,100,259,99.63,99.68,27,3229,97.46,3313,100,100,0,4,100,4
