genbank_accession,file,path,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_mapped,TEC_percentage,TEC_total,artifact_mapped,artifact_percentage,artifact_total,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_42038865.1,GCA_042038865.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042038865.1_mapping_stats.mapping_stats.txt,385,93.67,411,232,97.89,237,1001,99.8,1003,7,36.84,19,33783,99.55,33935,1751,99.43,1761,2102,99.29,2117,9888,99.54,9934,18522,99.62,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,46,95.83,48,1811,99.18,1826,894,99.78,896,250,100,250,3331,97.54,3415,4,100,4
GCA_18469965.2,GCA_018469965.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018469965.2/GCA_018469965.2_mapping_stats.mapping_stats.txt,394,95.86,411,229,96.62,237,1002,99.9,1003,7,36.84,19,33789,99.57,33935,1742,98.92,1761,2101,99.24,2117,9890,99.56,9934,18527,99.65,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1812,99.23,1826,890,99.33,896,249,99.6,250,3343,97.89,3415,4,100,4
GCA_18469705.2,GCA_018469705.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018469705.2/GCA_018469705.2_mapping_stats.mapping_stats.txt,390,94.89,411,229,96.62,237,1016,99.8,1018,7,36.84,19,34399,99.47,34584,1865,99.36,1877,2194,99.32,2209,10446,99.42,10507,19297,99.57,19381,4,100,4,51,96.23,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,939,100,939,259,100,259,3222,97.31,3311,4,100,4
GCA_18472705.2,GCA_018472705.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018472705.2/GCA_018472705.2_mapping_stats.mapping_stats.txt,389,94.65,411,228,96.2,237,1000,99.7,1003,7,36.84,19,33775,99.53,33935,1749,99.32,1761,2099,99.15,2117,9873,99.39,9934,18503,99.52,18592,4,100,4,51,100,474,99.37,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1809,99.07,1826,896,100,896,249,99.6,250,3327,97.42,3415,4,100,4
GCA_42038875.1,GCA_042038875.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042038875.1/GCA_042038875.1_mapping_stats.mapping_stats.txt,393,95.62,411,229,96.62,237,1000,99.7,1003,7,36.84,19,33781,99.55,33935,1751,99.43,1761,2101,99.24,2117,9887,99.53,9934,18522,99.62,18592,4,100,4,51,100,475,99.58,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1805,98.85,1826,894,99.78,896,250,100,250,3337,97.72,3415,4,100,4
GCA_42037875.1,GCA_042037875.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042037875.1/GCA_042037875.1_mapping_stats.mapping_stats.txt,397,96.59,411,231,97.47,237,1018,100,1018,7,36.84,19,34459,99.64,34584,1864,99.31,1877,2198,99.5,2209,10451,99.47,10507,19318,99.67,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1878,99.21,1893,938,99.89,939,258,99.61,259,3254,98.28,3311,4,100,4
GCA_42037895.1,GCA_042037895.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042037895.1_mapping_stats.mapping_stats.txt,374,91,411,218,91.98,237,1016,99.8,1018,7,36.84,19,34399,99.47,34584,1867,99.47,1877,2194,99.32,2209,10445,99.41,10507,19312,99.64,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1877,99.15,1893,937,99.79,939,259,100,259,3255,98.31,3311,4,100,4
GCA_42037885.1,GCA_042037885.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042037885.1/GCA_042037885.1_mapping_stats.mapping_stats.txt,347,84.43,411,205,86.5,237,1014,99.61,1018,7,36.84,19,34399,99.47,34584,1868,99.52,1877,2190,99.14,2209,10443,99.39,10507,19297,99.57,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,47,95.92,49,1875,99.05,1893,938,99.89,939,259,100,259,3219,97.22,3311,4,100,4
GCA_18472845.2,GCA_018472845.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018472845.2/GCA_018472845.2_mapping_stats.mapping_stats.txt,310,75.43,411,159,67.09,237,1017,99.9,1018,7,36.84,19,34384,99.42,34584,1865,99.36,1877,2197,99.46,2209,10434,99.31,10507,19299,99.58,19381,4,100,4,51,96.23,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,934,99.47,939,258,99.61,259,3236,97.73,3311,4,100,4
GCA_42036435.1,GCA_042036435.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042036435.1_mapping_stats.mapping_stats.txt,373,90.75,411,228,96.2,237,999,99.6,1003,7,36.84,19,33769,99.51,33935,1744,99.03,1761,2108,99.57,2117,9890,99.56,9934,18514,99.58,18592,4,100,4,50,98.04,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1808,99.01,1826,894,99.78,896,249,99.6,250,3353,98.18,3415,4,100,4
GCA_42036445.1,GCA_042036445.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042036445.1_mapping_stats.mapping_stats.txt,358,87.1,411,219,92.41,237,1002,99.9,1003,7,36.84,19,33817,99.65,33935,1754,99.6,1761,2106,99.48,2117,9889,99.55,9934,18535,99.69,18592,4,100,4,51,100,477,100,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1808,99.01,1826,894,99.78,896,247,98.8,250,3353,98.18,3415,4,100,4
GCA_42036495.1,GCA_042036495.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042036495.1_mapping_stats.mapping_stats.txt,387,94.16,411,228,96.2,237,1002,99.9,1003,7,36.84,19,33768,99.51,33935,1749,99.32,1761,2104,99.39,2117,9865,99.31,9934,18519,99.61,18592,2,50,4,51,100,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1810,99.12,1826,893,99.67,896,250,100,250,3321,97.25,3415,4,100,4
GCA_18466835.2,GCA_018466835.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018466835.2/GCA_018466835.2_mapping_stats.mapping_stats.txt,392,95.38,411,228,96.2,237,1016,99.8,1018,7,36.84,19,34398,99.46,34584,1869,99.57,1877,2193,99.28,2209,10439,99.35,10507,19296,99.56,19381,4,100,4,49,92.45,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,937,99.79,939,259,100,259,3226,97.43,3311,3,75,4
GCA_42038895.1,GCA_042038895.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042038895.1_mapping_stats.mapping_stats.txt,343,83.45,411,213,89.87,237,999,99.6,1003,7,36.84,19,33758,99.48,33935,1745,99.09,1761,2105,99.43,2117,9868,99.34,9934,18518,99.6,18592,4,100,4,50,98.04,477,100,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1801,98.63,1826,896,100,896,249,99.6,250,3319,97.19,3415,4,100,4
GCA_18470425.2,GCA_018470425.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018470425.2/GCA_018470425.2_mapping_stats.mapping_stats.txt,329,80.05,411,202,85.23,237,1000,99.7,1003,7,36.84,19,33747,99.45,33935,1750,99.38,1761,2107,99.53,2117,9854,99.19,9934,18518,99.6,18592,4,100,4,51,100,477,100,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1814,99.34,1826,894,99.78,896,250,100,250,3325,97.36,3415,4,100,4
GCA_42036525.1,GCA_042036525.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042036525.1_mapping_stats.mapping_stats.txt,399,97.08,411,230,97.05,237,1015,99.71,1018,7,36.84,19,34392,99.44,34584,1866,99.41,1877,2191,99.19,2209,10421,99.18,10507,19304,99.6,19381,4,100,4,49,92.45,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,939,100,939,258,99.61,259,3221,97.28,3311,4,100,4
GCA_42038885.1,GCA_042038885.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042038885.1_mapping_stats.mapping_stats.txt,373,90.75,411,230,97.05,237,1000,99.7,1003,7,36.84,19,33759,99.48,33935,1752,99.49,1761,2105,99.43,2117,9889,99.55,9934,18532,99.68,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,46,95.83,48,1805,98.85,1826,895,99.89,896,249,99.6,250,3341,97.83,3415,4,100,4
GCA_42037905.1,GCA_042037905.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042037905.1_mapping_stats.mapping_stats.txt,389,94.65,411,222,93.67,237,1016,99.8,1018,7,36.84,19,34429,99.55,34584,1864,99.31,1877,2191,99.19,2209,10444,99.4,10507,19302,99.59,19381,4,100,4,53,100,487,99.59,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1878,99.21,1893,939,100,939,259,100,259,3231,97.58,3311,4,100,4
GCA_42037925.1,GCA_042037925.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042037925.1/GCA_042037925.1_mapping_stats.mapping_stats.txt,361,87.83,411,216,91.14,237,1014,99.61,1018,10,52.63,19,34419,99.52,34584,1868,99.52,1877,2193,99.28,2209,10449,99.45,10507,19301,99.59,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1873,98.94,1893,933,99.36,939,259,100,259,3234,97.67,3311,4,100,4
GCA_18469415.2,GCA_018469415.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018469415.2/GCA_018469415.2_mapping_stats.mapping_stats.txt,379,92.21,411,226,95.36,237,1015,99.71,1018,7,36.84,19,34421,99.53,34584,1865,99.36,1877,2201,99.64,2209,10446,99.42,10507,19309,99.63,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1873,98.94,1893,938,99.89,939,258,99.61,259,3228,97.49,3311,4,100,4
GCA_42036515.1,GCA_042036515.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042036515.1/GCA_042036515.1_mapping_stats.mapping_stats.txt,377,91.73,411,229,96.62,237,1016,99.8,1018,7,36.84,19,34424,99.54,34584,1869,99.57,1877,2197,99.46,2209,10447,99.43,10507,19292,99.54,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,932,99.25,939,259,100,259,3230,97.55,3311,4,100,4
GCA_42036505.1,GCA_042036505.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042036505.1/GCA_042036505.1_mapping_stats.mapping_stats.txt,369,89.78,411,229,96.62,237,1001,99.8,1003,7,36.84,19,33778,99.54,33935,1749,99.32,1761,2104,99.39,2117,9884,99.5,9934,18535,99.69,18592,4,100,4,49,96.08,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1810,99.12,1826,896,100,896,249,99.6,250,3334,97.63,3415,4,100,4
GCA_42036535.1,GCA_042036535.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042036535.1/GCA_042036535.1_mapping_stats.mapping_stats.txt,389,94.65,411,232,97.89,237,1002,99.9,1003,7,36.84,19,33798,99.6,33935,1754,99.6,1761,2102,99.29,2117,9875,99.41,9934,18535,99.69,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1808,99.01,1826,895,99.89,896,249,99.6,250,3362,98.45,3415,4,100,4
GCA_42036805.1,GCA_042036805.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042036805.1/GCA_042036805.1_mapping_stats.mapping_stats.txt,373,90.75,411,225,94.94,237,1000,99.7,1003,7,36.84,19,33775,99.53,33935,1754,99.6,1761,2100,99.2,2117,9878,99.44,9934,18520,99.61,18592,4,100,4,49,96.08,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1804,98.8,1826,894,99.78,896,250,100,250,3331,97.54,3415,4,100,4
GCA_42036795.1,GCA_042036795.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042036795.1/GCA_042036795.1_mapping_stats.mapping_stats.txt,371,90.27,411,230,97.05,237,1002,99.9,1003,7,36.84,19,33766,99.5,33935,1751,99.43,1761,2100,99.2,2117,9881,99.47,9934,18529,99.66,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1803,98.74,1826,892,99.55,896,249,99.6,250,3324,97.34,3415,4,100,4
GCA_42036925.1,GCA_042036925.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042036925.1/GCA_042036925.1_mapping_stats.mapping_stats.txt,378,91.97,411,233,98.31,237,1001,99.8,1003,7,36.84,19,33789,99.57,33935,1752,99.49,1761,2111,99.72,2117,9879,99.45,9934,18540,99.72,18592,4,100,4,51,100,477,100,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1804,98.8,1826,895,99.89,896,249,99.6,250,3354,98.21,3415,3,75,4
GCA_46116065.1,GCA_046116065.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb67_production/GCA_046116065.1/GCA_046116065.1_mapping_stats.mapping_stats.txt,390,94.89,411,222,93.67,237,997,99.4,1003,7,36.84,19,33787,99.56,33935,1754,99.6,1761,2108,99.57,2117,9881,99.47,9934,18521,99.62,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1809,99.07,1826,893,99.67,896,250,100,250,3344,97.92,3415,4,100,4
GCA_46116025.1,GCA_046116025.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb67_production/GCA_046116025.1/GCA_046116025.1_mapping_stats.mapping_stats.txt,372,90.51,411,221,93.25,237,1016,99.8,1018,7,36.84,19,34460,99.64,34584,1870,99.63,1877,2198,99.5,2209,10463,99.58,10507,19319,99.68,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1875,99.05,1893,938,99.89,939,259,100,259,3249,98.13,3311,4,100,4
GCA_42076665.1,GCA_042076665.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042076665.1/GCA_042076665.1_mapping_stats.mapping_stats.txt,372,90.51,411,226,95.36,237,1016,99.8,1018,7,36.84,19,34422,99.53,34584,1866,99.41,1877,2193,99.28,2209,10450,99.46,10507,19304,99.6,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,933,99.36,939,259,100,259,3231,97.58,3311,4,100,4
GCA_42076675.1,GCA_042076675.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042076675.1/GCA_042076675.1_mapping_stats.mapping_stats.txt,323,78.59,411,160,67.51,237,1014,99.61,1018,7,36.84,19,34387,99.43,34584,1868,99.52,1877,2196,99.41,2209,10434,99.31,10507,19295,99.56,19381,4,100,4,53,100,485,99.18,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1872,98.89,1893,939,100,939,259,100,259,3229,97.52,3311,4,100,4
GCA_42076525.1,GCA_042076525.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042076525.1/GCA_042076525.1_mapping_stats.mapping_stats.txt,394,95.86,411,232,97.89,237,1002,99.9,1003,7,36.84,19,33802,99.61,33935,1753,99.55,1761,2107,99.53,2117,9894,99.6,9934,18525,99.64,18592,4,100,4,51,100,477,100,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1800,98.58,1826,894,99.78,896,250,100,250,3363,98.48,3415,3,75,4
GCA_42076445.1,GCA_042076445.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042076445.1_mapping_stats.mapping_stats.txt,398,96.84,411,229,96.62,237,1001,99.8,1003,7,36.84,19,33769,99.51,33935,1747,99.2,1761,2103,99.34,2117,9875,99.41,9934,18526,99.65,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1806,98.9,1826,895,99.89,896,250,100,250,3337,97.72,3415,4,100,4
GCA_42076455.1,GCA_042076455.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042076455.1/GCA_042076455.1_mapping_stats.mapping_stats.txt,369,89.78,411,227,95.78,237,1000,99.7,1003,7,36.84,19,33735,99.41,33935,1750,99.38,1761,2105,99.43,2117,9865,99.31,9934,18517,99.6,18592,4,100,4,50,98.04,477,100,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1808,99.01,1826,892,99.55,896,250,100,250,3316,97.1,3415,4,100,4
GCA_46056445.1,GCA_046056445.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb67_production/GCA_046056445.1/GCA_046056445.1_mapping_stats.mapping_stats.txt,348,84.67,411,206,86.92,237,1016,99.8,1018,7,36.84,19,34403,99.48,34584,1863,99.25,1877,2195,99.37,2209,10431,99.28,10507,19309,99.63,19381,4,100,4,49,92.45,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1877,99.15,1893,936,99.68,939,259,100,259,3220,97.25,3311,4,100,4
GCA_42078065.1,GCA_042078065.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042078065.1/GCA_042078065.1_mapping_stats.mapping_stats.txt,382,92.94,411,230,97.05,237,1001,99.8,1003,7,36.84,19,33765,99.5,33935,1749,99.32,1761,2101,99.24,2117,9883,99.49,9934,18522,99.62,18592,4,100,4,49,96.08,477,100,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1809,99.07,1826,896,100,896,249,99.6,250,3335,97.66,3415,4,100,4
GCA_42078025.1,GCA_042078025.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042078025.1/GCA_042078025.1_mapping_stats.mapping_stats.txt,373,90.75,411,224,94.51,237,1015,99.71,1018,7,36.84,19,34396,99.46,34584,1864,99.31,1877,2195,99.37,2209,10446,99.42,10507,19250,99.32,19381,4,100,4,53,100,486,99.39,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,938,99.89,939,258,99.61,259,3235,97.7,3311,4,100,4
GCA_42078005.1,GCA_042078005.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042078005.1/GCA_042078005.1_mapping_stats.mapping_stats.txt,379,92.21,411,219,92.41,237,1016,99.8,1018,7,36.84,19,34409,99.49,34584,1863,99.25,1877,2193,99.28,2209,10450,99.46,10507,19311,99.64,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,938,99.89,939,258,99.61,259,3236,97.73,3311,4,100,4
GCA_42077995.1,GCA_042077995.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077995.1/GCA_042077995.1_mapping_stats.mapping_stats.txt,363,88.32,411,223,94.09,237,1016,99.8,1018,10,52.63,19,34403,99.48,34584,1864,99.31,1877,2199,99.55,2209,10419,99.16,10507,19306,99.61,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,938,99.89,939,258,99.61,259,3222,97.31,3311,4,100,4
GCA_42077985.1,GCA_042077985.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077985.1/GCA_042077985.1_mapping_stats.mapping_stats.txt,402,97.81,411,235,99.16,237,1017,99.9,1018,10,52.63,19,34430,99.55,34584,1870,99.63,1877,2194,99.32,2209,10451,99.47,10507,19310,99.63,19381,3,75,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,936,99.68,939,258,99.61,259,3230,97.55,3311,4,100,4
GCA_42077965.1,GCA_042077965.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077965.1/GCA_042077965.1_mapping_stats.mapping_stats.txt,343,83.45,411,207,87.34,237,1000,99.7,1003,7,36.84,19,33759,99.48,33935,1748,99.26,1761,2107,99.53,2117,9881,99.47,9934,18527,99.65,18592,1,25,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1803,98.74,1826,895,99.89,896,250,100,250,3331,97.54,3415,4,100,4
GCA_42077865.1,GCA_042077865.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077865.1/GCA_042077865.1_mapping_stats.mapping_stats.txt,374,91,411,223,94.09,237,1017,99.9,1018,8,42.11,19,34421,99.53,34584,1864,99.31,1877,2197,99.46,2209,10446,99.42,10507,19299,99.58,19381,4,100,4,51,96.23,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,939,100,939,258,99.61,259,3226,97.43,3311,4,100,4
GCA_42077015.1,GCA_042077015.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077015.1/GCA_042077015.1_mapping_stats.mapping_stats.txt,374,91,411,232,97.89,237,1002,99.9,1003,7,36.84,19,33774,99.53,33935,1748,99.26,1761,2105,99.43,2117,9885,99.51,9934,18516,99.59,18592,3,75,4,51,100,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1800,98.58,1826,896,100,896,250,100,250,3337,97.72,3415,4,100,4
GCA_42076995.1,GCA_042076995.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042076995.1_mapping_stats.mapping_stats.txt,361,87.83,411,224,94.51,237,1016,99.8,1018,7,36.84,19,34433,99.56,34584,1859,99.04,1877,2193,99.28,2209,10454,99.5,10507,19312,99.64,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1877,99.15,1893,939,100,939,258,99.61,259,3235,97.7,3311,4,100,4
GCA_42077705.1,GCA_042077705.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042077705.1/GCA_042077705.1_mapping_stats.mapping_stats.txt,366,89.05,411,213,89.87,237,1012,99.41,1018,10,52.63,19,34395,99.45,34584,1871,99.68,1877,2200,99.59,2209,10447,99.43,10507,19299,99.58,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,47,95.92,49,1872,98.89,1893,936,99.68,939,259,100,259,3238,97.8,3311,4,100,4
GCA_42076985.1,GCA_042076985.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042076985.1_mapping_stats.mapping_stats.txt,361,87.83,411,225,94.94,237,1015,99.71,1018,8,42.11,19,34425,99.54,34584,1863,99.25,1877,2196,99.41,2209,10442,99.38,10507,19303,99.6,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1878,99.21,1893,933,99.36,939,257,99.23,259,3243,97.95,3311,4,100,4
GCA_42077695.1,GCA_042077695.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077695.1/GCA_042077695.1_mapping_stats.mapping_stats.txt,366,89.05,411,206,86.92,237,1014,99.61,1018,7,36.84,19,34425,99.54,34584,1870,99.63,1877,2200,99.59,2209,10442,99.38,10507,19309,99.63,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,932,99.25,939,259,100,259,3239,97.83,3311,4,100,4
GCA_42077635.1,GCA_042077635.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042077635.1/GCA_042077635.1_mapping_stats.mapping_stats.txt,350,85.16,411,204,86.08,237,1017,99.9,1018,7,36.84,19,34395,99.45,34584,1865,99.36,1877,2201,99.64,2209,10444,99.4,10507,19300,99.58,19381,4,100,4,51,96.23,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1871,98.84,1893,934,99.47,939,258,99.61,259,3244,97.98,3311,4,100,4
